shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_VP01_1,21.31205532,105.6231,52
shape_VP01_1,21.31499863,105.6197309,53
shape_VP01_1,21.31466449,105.6172917,54
shape_VP01_1,21.31268623,105.6149549,55
shape_VP01_1,21.31202974,105.6140181,56
shape_VP01_1,21.31314352,105.6117381,57
shape_VP01_1,21.31471677,105.6066523,58
shape_VP01_1,21.31384306,105.6006107,59
shape_VP01_1,21.31295878,105.596253,60
shape_VP01_1,21.30954748,105.5940813,61
shape_VP01_1,21.30839449,105.5934486,62
shape_VP01_1,21.30884311,105.5898164,63
shape_VP01_1,21.30887331,105.5874687,64
shape_VP01_1,21.30798277,105.5860273,65
shape_VP01_1,21.30762081,105.5838779,66
shape_VP01_1,21.30645698,105.5761083,67
shape_VP01_1,21.30610016,105.572654,68
shape_VP01_1,21.30578094,105.5693144,69
shape_VP01_1,21.30511407,105.5676001,70
shape_VP01_1,21.30175349,105.5625499,71
shape_VP01_1,21.29957884,105.5599036,72
shape_VP01_1,21.29644547,105.5562181,73
shape_VP01_1,21.29402489,105.5534104,74
shape_VP01_1,21.2880856,105.5461768,75
shape_VP01_1,21.28440408,105.5358881,76
shape_VP01_1,21.2793927,105.5216398,77
shape_VP01_1,21.27849206,105.5130009,78
shape_VP01_1,21.27806042,105.5059492,79
shape_VP01_1,21.2779107,105.4898693,80
shape_VP01_1,21.27858232,105.4856659,81
shape_VP01_1,21.28054385,105.4724486,82
shape_VP01_1,21.27986935,105.4697822,83
shape_VP01_1,21.27918658,105.4672103,84
shape_VP01_1,21.2792126,105.4645016,85
shape_VP01_1,21.27909809,105.4638972,86
shape_VP01_1,21.27827833,105.4624738,87
shape_VP01_1,21.27831986,105.4610887,88
shape_VP01_1,21.27907405,105.454625,89
shape_VP04_0,21.25080671,105.45347,1
shape_VP04_0,21.2501988,105.452879,2
shape_VP04_0,21.24667768,105.4570055,3
shape_VP04_0,21.24367608,105.4578376,4
shape_VP04_0,21.2427145,105.4621824,5
shape_VP04_0,21.24176949,105.4672325,6
shape_VP04_0,21.24117771,105.4698855,7
shape_VP04_0,21.23939215,105.4770429,8
shape_VP04_0,21.23866001,105.4783941,9
shape_VP04_0,21.24020468,105.47909,10
shape_VP04_0,21.244,105.4841505,11
shape_VP04_0,21.247711,105.4894383,12
shape_VP04_0,21.24658437,105.4896728,13
shape_VP04_0,21.24020319,105.4914387,14
shape_VP04_0,21.22863006,105.4953164,15
shape_VP04_0,21.22825911,105.4962216,16
shape_VP04_0,21.2280776,105.4981656,17
shape_VP04_0,21.22559221,105.5033208,18
shape_VP04_0,21.22478942,105.5049399,19
shape_VP04_0,21.22292958,105.5065867,20
shape_VP04_0,21.21898728,105.5102103,21
shape_VP04_0,21.21787213,105.5121274,22
shape_VP04_0,21.2161896,105.513259,23
shape_VP04_0,21.21573098,105.5136578,24
shape_VP04_0,21.22075319,105.5181605,25
shape_VP04_0,21.22441918,105.521407,26
shape_VP04_0,21.2283872,105.5241452,27
shape_VP04_0,21.22988291,105.5254684,28
shape_VP04_0,21.23518344,105.5285333,29
shape_VP04_0,21.24401235,105.5340637,30
shape_VP04_0,21.25029696,105.5381454,31
shape_VP04_0,21.25890092,105.5393192,32
shape_VP04_0,21.26038051,105.5398955,33
shape_VP04_0,21.26713577,105.542795,34
shape_VP04_0,21.26789125,105.5426818,35
shape_VP04_0,21.27546225,105.5409316,36
shape_VP04_0,21.28089647,105.5405821,37
shape_VP04_0,21.28120062,105.5470225,38
shape_VP04_0,21.28455261,105.5468758,39
shape_VP04_0,21.28766384,105.5450686,40
shape_VP04_0,21.28799667,105.5460685,41
shape_VP04_0,21.29393552,105.5534783,42
shape_VP04_0,21.29637544,105.5563358,43
shape_VP04_0,21.29957958,105.5600386,44
shape_VP04_0,21.30167783,105.5626285,45
shape_VP04_0,21.30503446,105.5674955,46
shape_VP04_0,21.30587122,105.5701668,47
shape_VP04_0,21.30597739,105.5726528,48
shape_VP04_0,21.30631954,105.5761378,49
shape_VP04_0,21.30749087,105.5838994,50
shape_VP04_0,21.30798277,105.5860273,51
shape_VP04_0,21.30887331,105.5874687,52
shape_VP04_0,21.30872316,105.5898016,53
shape_VP04_0,21.30839449,105.5934486,54
shape_VP04_0,21.30920543,105.5941533,55
shape_VP04_0,21.31284383,105.5963925,56
shape_VP04_0,21.31361443,105.6006836,57
shape_VP04_0,21.31470507,105.6063581,58
shape_VP04_0,21.31293551,105.6118626,59
shape_VP04_0,21.31202974,105.6140181,60
shape_VP04_0,21.31259807,105.6149076,61
shape_VP04_0,21.31466449,105.6172917,62
shape_VP04_0,21.3152706,105.6219112,63
shape_VP04_0,21.31201783,105.6229,64
shape_VP04_0,21.3095715,105.624,65
shape_VP04_0,21.3070477,105.6250654,66
shape_VP04_0,21.30451878,105.6247,67
shape_VP04_0,21.30364195,105.6242797,68
shape_VP04_0,21.3011232,105.6263,69
shape_VP04_1,21.30106823,105.6268,1
shape_VP04_1,21.30364195,105.6242797,2
shape_VP04_1,21.30441633,105.6249,3
shape_VP04_1,21.3070477,105.6250654,4
shape_VP04_1,21.30959899,105.6242,5
shape_VP04_1,21.31205532,105.6231,6
shape_VP04_1,21.31499863,105.6197309,7
shape_VP04_1,21.31466449,105.6172917,8
shape_VP04_1,21.31268623,105.6149549,9
shape_VP04_1,21.31202974,105.6140181,10
shape_VP04_1,21.31314352,105.6117381,11
shape_VP04_1,21.31471677,105.6066523,12
shape_VP04_1,21.31384306,105.6006107,13
shape_VP04_1,21.31295878,105.596253,14
shape_VP04_1,21.30954748,105.5940813,15
shape_VP04_1,21.30839449,105.5934486,16
shape_VP04_1,21.30884311,105.5898164,17
shape_VP04_1,21.30887331,105.5874687,18
shape_VP04_1,21.30798277,105.5860273,19
shape_VP04_1,21.30762081,105.5838779,20
shape_VP04_1,21.30645698,105.5761083,21
shape_VP04_1,21.30610016,105.572654,22
shape_VP04_1,21.30578094,105.5693144,23
shape_VP04_1,21.30511407,105.5676001,24
shape_VP04_1,21.30175349,105.5625499,25
shape_VP04_1,21.29957884,105.5599036,26
shape_VP04_1,21.29644547,105.5562181,27
shape_VP04_1,21.29402489,105.5534104,28
shape_VP04_1,21.2880856,105.5461768,29
shape_VP04_1,21.28766384,105.5450686,30
shape_VP04_1,21.28455261,105.5468758,31
shape_VP04_1,21.28120062,105.5470225,32
shape_VP04_1,21.28115166,105.5422418,33
shape_VP04_1,21.28109301,105.5401366,34
shape_VP04_1,21.27546225,105.5409316,35
shape_VP04_1,21.26929125,105.5423934,36
shape_VP04_1,21.26713577,105.542795,37
shape_VP04_1,21.26013482,105.5397068,38
shape_VP04_1,21.25890092,105.5393192,39
shape_VP04_1,21.24965972,105.5376731,40
shape_VP04_1,21.24470954,105.5344863,41
shape_VP04_1,21.23596105,105.5289178,42
shape_VP04_1,21.22982577,105.5252756,43
shape_VP04_1,21.2283872,105.5241452,44
shape_VP04_1,21.22437986,105.5211792,45
shape_VP04_1,21.22090911,105.5181932,46
shape_VP04_1,21.21573098,105.5136578,47
shape_VP04_1,21.21611051,105.5134983,48
shape_VP04_1,21.21787213,105.5121274,49
shape_VP04_1,21.21851427,105.5110927,50
shape_VP04_1,21.22305587,105.506697,51
shape_VP04_1,21.22478942,105.5049399,52
shape_VP04_1,21.22591139,105.5029148,53
shape_VP04_1,21.2280776,105.4981656,54
shape_VP04_1,21.22835404,105.4964794,55
shape_VP04_1,21.22863006,105.4953164,56
shape_VP04_1,21.23999257,105.4916641,57
shape_VP04_1,21.2471138,105.489671,58
shape_VP04_1,21.247711,105.4894383,59
shape_VP04_1,21.24431449,105.4844202,60
shape_VP04_1,21.23963411,105.4787895,61
shape_VP04_1,21.23866001,105.4783941,62
shape_VP04_1,21.2392378,105.4772049,63
shape_VP04_1,21.24103889,105.4708896,64
shape_VP04_1,21.24185752,105.4669995,65
shape_VP04_1,21.24346508,105.4589233,66
shape_VP04_1,21.24367608,105.4578376,67
shape_VP04_1,21.24701407,105.4569036,68
shape_VP04_1,21.2501988,105.452879,69
shape_VP04_1,21.25080671,105.45347,70
shape_VP08_0,21.21432757,105.5146845,1
shape_VP08_0,21.20881633,105.5198993,2
shape_VP08_0,21.20817251,105.5204953,3
shape_VP08_0,21.20532419,105.5218036,4
shape_VP08_0,21.20409753,105.5224219,5
shape_VP08_0,21.20194213,105.5251106,6
shape_VP08_0,21.20194139,105.5251992,7
shape_VP08_0,21.20448415,105.5284385,8
shape_VP08_0,21.21356488,105.5424296,9
shape_VP08_0,21.21489996,105.5459528,10
shape_VP08_0,21.21691393,105.5509222,11
shape_VP08_0,21.22115776,105.5615107,12
shape_VP08_0,21.22302122,105.5661688,13
shape_VP08_0,21.224405,105.5701463,14
shape_VP08_0,21.22604539,105.5719307,15
shape_VP08_0,21.22640509,105.5719654,16
shape_VP08_0,21.22752509,105.5719011,17
shape_VP08_0,21.23021076,105.573362,18
shape_VP08_0,21.23392144,105.5743477,19
shape_VP08_0,21.2352732,105.5748142,20
shape_VP08_0,21.23447309,105.5772345,21
shape_VP08_0,21.2341174,105.5798599,22
shape_VP08_0,21.23396577,105.5842831,23
shape_VP08_0,21.23386666,105.5848598,24
shape_VP08_0,21.23118289,105.5902457,25
shape_VP08_0,21.23094695,105.590982,26
shape_VP08_0,21.22954271,105.5970124,27
shape_VP08_0,21.22838762,105.5985412,28
shape_VP08_0,21.22628305,105.6054546,29
shape_VP08_0,21.22447809,105.6087448,30
shape_VP08_0,21.22420514,105.6092633,31
shape_VP08_0,21.2308815,105.6109034,32
shape_VP08_0,21.23344415,105.6141641,33
shape_VP08_0,21.24089639,105.6238411,34
shape_VP08_0,21.24603617,105.6308318,35
shape_VP08_0,21.24672439,105.6340592,36
shape_VP08_0,21.24674004,105.6351795,37
shape_VP08_0,21.2472863,105.635827,38
shape_VP08_0,21.24883347,105.6361879,39
shape_VP08_0,21.24998596,105.6370194,40
shape_VP08_0,21.25102925,105.6377435,41
shape_VP08_0,21.25371498,105.6391943,42
shape_VP08_0,21.2553963,105.6400083,43
shape_VP08_0,21.257784,105.6422119,44
shape_VP08_0,21.25884043,105.6424751,45
shape_VP08_0,21.25925129,105.6455683,46
shape_VP08_0,21.25881647,105.6472563,47
shape_VP08_0,21.25803875,105.6482615,48
shape_VP08_0,21.25781508,105.6491936,49
shape_VP08_0,21.25812022,105.6511574,50
shape_VP08_0,21.26061316,105.6538775,51
shape_VP08_0,21.26132362,105.6539903,52
shape_VP08_0,21.26150859,105.6548879,53
shape_VP08_0,21.26077033,105.655707,54
shape_VP08_0,21.25821067,105.6594534,55
shape_VP08_0,21.25595576,105.6658112,56
shape_VP08_0,21.25554652,105.6668223,57
shape_VP08_0,21.26134978,105.6689485,58
shape_VP08_0,21.2654803,105.670432,59
shape_VP08_0,21.27365009,105.6731701,60
shape_VP08_0,21.27562694,105.6737539,61
shape_VP08_0,21.2771202,105.6737313,62
shape_VP08_0,21.28610922,105.6704682,63
shape_VP08_0,21.29592912,105.6722856,64
shape_VP08_0,21.29665638,105.6731152,65
shape_VP08_0,21.30343748,105.6800774,66
shape_VP08_0,21.30437491,105.6808135,67
shape_VP08_0,21.31865973,105.6836876,68
shape_VP08_0,21.32122101,105.6840702,69
shape_VP08_0,21.32891247,105.6860868,70
shape_VP08_0,21.33495281,105.6875353,71
shape_VP08_0,21.33738802,105.6756256,72
shape_VP08_0,21.33731279,105.6747824,73
shape_VP08_0,21.34039939,105.6747709,74
shape_VP08_0,21.34557796,105.6748111,75
shape_VP08_0,21.34559891,105.671113,76
shape_VP08_0,21.34562753,105.6693069,77
shape_VP08_0,21.34521534,105.6693205,78
shape_VP08_0,21.3398834,105.6692795,79
shape_VP08_0,21.33972742,105.6694597,80
shape_VP08_0,21.33968748,105.6722845,81
shape_VP08_0,21.33966828,105.6746181,82
shape_VP08_0,21.33793526,105.6746183,83
shape_VP08_0,21.33715982,105.6747363,84
shape_VP08_0,21.33712819,105.6755988,85
shape_VP08_0,21.33712133,105.6761297,86
shape_VP08_0,21.33486521,105.6885471,87
shape_VP08_0,21.33415883,105.6922535,88
shape_VP08_0,21.33360755,105.695415,89
shape_VP08_0,21.33116995,105.6992202,90
shape_VP08_0,21.32746772,105.7036422,91
shape_VP08_0,21.32712962,105.7042013,92
shape_VP08_0,21.32603709,105.7032991,93
shape_VP08_0,21.32197062,105.7025782,94
shape_VP08_0,21.32057485,105.7033748,95
shape_VP08_0,21.31997767,105.7033141,96
shape_VP08_0,21.31899179,105.7035075,97
shape_VP08_0,21.31763132,105.7040765,98
shape_VP08_0,21.31589981,105.7059807,99
shape_VP08_0,21.31496847,105.706542,100
shape_VP08_0,21.31302052,105.7076848,101
shape_VP08_0,21.31121767,105.7080005,102
shape_VP08_0,21.31049905,105.7098861,103
shape_VP08_0,21.30840619,105.7114063,104
shape_VP08_0,21.30574176,105.7111537,105
shape_VP08_0,21.30471665,105.7117436,106
shape_VP08_0,21.30433024,105.7121964,107
shape_VP08_0,21.30381252,105.7138622,108
shape_VP08_0,21.30318801,105.7149233,109
shape_VP08_0,21.30286744,105.7155154,110
shape_VP08_0,21.30245749,105.715872,111
shape_VP08_0,21.30182136,105.7159137,112
shape_VP08_0,21.29987138,105.7147617,113
shape_VP08_0,21.29891606,105.7126126,114
shape_VP08_0,21.29821818,105.7126048,115
shape_VP08_0,21.2952101,105.7140056,116
shape_VP08_0,21.28622167,105.7181434,117
shape_VP08_0,21.28461377,105.7189458,118
shape_VP08_0,21.28347905,105.7199075,119
shape_VP08_0,21.28207263,105.723585,120
shape_VP08_0,21.28156551,105.7250244,121
shape_VP08_0,21.28081389,105.7258309,122
shape_VP08_0,21.27774762,105.7292928,123
shape_VP08_0,21.27719532,105.7290406,124
shape_VP08_0,21.27536586,105.7282512,125
shape_VP08_0,21.27488042,105.727692,126
shape_VP08_0,21.27452947,105.7263467,127
shape_VP08_0,21.27435286,105.7257319,128
shape_VP08_0,21.27308777,105.7245127,129
shape_VP08_0,21.2714997,105.7243318,130
shape_VP08_0,21.26854613,105.7240388,131
shape_VP08_0,21.26474787,105.7217136,132
shape_VP08_0,21.26100917,105.7187896,133
shape_VP08_0,21.26020188,105.7180641,134
shape_VP08_0,21.25985731,105.7158593,135
shape_VP08_0,21.25867063,105.7151945,136
shape_VP08_0,21.25398676,105.7133918,137
shape_VP08_0,21.25011716,105.711946,138
shape_VP08_0,21.24873645,105.7116804,139
shape_VP08_0,21.24458811,105.7105136,140
shape_VP08_0,21.24294981,105.7102381,141
shape_VP08_0,21.2413613,105.7100241,142
shape_VP08_0,21.23991505,105.7083985,143
shape_VP08_0,21.23931497,105.7077188,144
shape_VP08_0,21.23740532,105.7067592,145
shape_VP08_0,21.23695656,105.7061956,146
shape_VP08_0,21.2365729,105.7054908,147
shape_VP08_0,21.23595272,105.7058472,148
shape_VP08_0,21.23541042,105.7057667,149
shape_VP08_0,21.23263532,105.7059502,150
shape_VP08_0,21.2312882,105.7064999,151
shape_VP08_0,21.2307033,105.7062747,152
shape_VP08_0,21.22535042,105.7048386,153
shape_VP08_0,21.22411616,105.7045335,154
shape_VP08_0,21.21964398,105.7025063,155
shape_VP08_0,21.21684464,105.7038592,156
shape_VP08_1,21.21684464,105.7038592,1
shape_VP08_1,21.21964398,105.7025063,2
shape_VP08_1,21.22411616,105.7045335,3
shape_VP08_1,21.22545376,105.704905,4
shape_VP08_1,21.23024894,105.7062679,5
shape_VP08_1,21.2312882,105.7064999,6
shape_VP08_1,21.23263532,105.7059502,7
shape_VP08_1,21.23521569,105.7057973,8
shape_VP08_1,21.23595272,105.7058472,9
shape_VP08_1,21.2365729,105.7054908,10
shape_VP08_1,21.2370157,105.7063211,11
shape_VP08_1,21.23740532,105.7067592,12
shape_VP08_1,21.23931497,105.7077188,13
shape_VP08_1,21.23992568,105.7084569,14
shape_VP08_1,21.2413613,105.7100241,15
shape_VP08_1,21.24338546,105.7103722,16
shape_VP08_1,21.24458811,105.7105136,17
shape_VP08_1,21.2491451,105.7118119,18
shape_VP08_1,21.25011716,105.711946,19
shape_VP08_1,21.25450748,105.713663,20
shape_VP08_1,21.25904265,105.7153959,21
shape_VP08_1,21.25985731,105.7158593,22
shape_VP08_1,21.26020188,105.7180641,23
shape_VP08_1,21.26126049,105.719102,24
shape_VP08_1,21.26509307,105.7220593,25
shape_VP08_1,21.26854613,105.7240388,26
shape_VP08_1,21.27085679,105.7243373,27
shape_VP08_1,21.27308777,105.7245127,28
shape_VP08_1,21.27435286,105.7257319,29
shape_VP08_1,21.27448771,105.726433,30
shape_VP08_1,21.27488042,105.727692,31
shape_VP08_1,21.27536586,105.7282512,32
shape_VP08_1,21.27707315,105.7290713,33
shape_VP08_1,21.27774762,105.7292928,34
shape_VP08_1,21.28077597,105.7259867,35
shape_VP08_1,21.28156551,105.7250244,36
shape_VP08_1,21.28221401,105.7232836,37
shape_VP08_1,21.28347905,105.7199075,38
shape_VP08_1,21.28461377,105.7189458,39
shape_VP08_1,21.28618665,105.7182585,40
shape_VP08_1,21.29503096,105.7141901,41
shape_VP08_1,21.29842551,105.7125703,42
shape_VP08_1,21.29891606,105.7126126,43
shape_VP08_1,21.29987138,105.7147617,44
shape_VP08_1,21.30182136,105.7159137,45
shape_VP08_1,21.30245749,105.715872,46
shape_VP08_1,21.30286744,105.7155154,47
shape_VP08_1,21.30312803,105.7151594,48
shape_VP08_1,21.30381252,105.7138622,49
shape_VP08_1,21.30433024,105.7121964,50
shape_VP08_1,21.30471665,105.7117436,51
shape_VP08_1,21.30574176,105.7111537,52
shape_VP08_1,21.30840619,105.7114063,53
shape_VP08_1,21.31049905,105.7098861,54
shape_VP08_1,21.31121767,105.7080005,55
shape_VP08_1,21.31302052,105.7076848,56
shape_VP08_1,21.31496847,105.706542,57
shape_VP08_1,21.31589981,105.7059807,58
shape_VP08_1,21.31763132,105.7040765,59
shape_VP08_1,21.31899179,105.7035075,60
shape_VP08_1,21.31997767,105.7033141,61
shape_VP08_1,21.32057485,105.7033748,62
shape_VP08_1,21.32197062,105.7025782,63
shape_VP08_1,21.32603709,105.7032991,64
shape_VP08_1,21.32712962,105.7042013,65
shape_VP08_1,21.32792618,105.7033405,66
shape_VP08_1,21.33162133,105.6988281,67
shape_VP08_1,21.33360755,105.695415,68
shape_VP08_1,21.33407405,105.6936576,69
shape_VP08_1,21.33496113,105.6887076,70
shape_VP08_1,21.33738802,105.6756256,71
shape_VP08_1,21.33731279,105.6747824,72
shape_VP08_1,21.34039939,105.6747709,73
shape_VP08_1,21.34557796,105.6748111,74
shape_VP08_1,21.34559891,105.671113,75
shape_VP08_1,21.34562753,105.6693069,76
shape_VP08_1,21.34521534,105.6693205,77
shape_VP08_1,21.3398834,105.6692795,78
shape_VP08_1,21.33972742,105.6694597,79
shape_VP08_1,21.33968748,105.6722845,80
shape_VP08_1,21.33966828,105.6746181,81
shape_VP08_1,21.33793526,105.6746183,82
