stop_id,stop_name,stop_lat,stop_lon
0VTG28,Bưu điện Tân Phú,21.24176949,105.4672325
0VTG29,Đê Tân Phú,21.2427145,105.4621824
0VTG30,Đường rẽ xóm Bãi Xã,21.24667768,105.4570055
0VTG31,UBND xã Cao Đại,21.25080671,105.45347
0VTG32,Bến xe khách TT Vĩnh Tường,21.21432757,105.5146845
0VTG33,UBND xã Tứ Trưng,21.20881633,105.5198993
0VTG34,HTX Tứ Trưng,21.20532419,105.5218036
0VTG35,Đầu đường rẽ đi Yên Đồng,21.20194213,105.5251106
0VTG36,Thôn Thị - Tứ Trưng,21.20448415,105.5284385
0VYN00,Big C Vĩnh Phúc,21.29260498,105.6309426
0VYN01,Bến xe vĩnh Yên,21.3011232,105.6263
0VYN02,Công ty Power,21.30451878,105.6247
0VYN03,Công ty vina Korea,21.3095715,105.624
0VYN04,Công ty Shinwon,21.31201783,105.6229
0VYN05,Sở Cảnh sát & PCCC,21.3152706,105.6219112
0VYN06,Co.opmart Vĩnh Phúc,21.31259807,105.6149076
0VYN07,Chi cục Dân số KHHGĐ,21.31293551,105.6118626
0VYN08,Ngân hàng ACB,21.31470507,105.6063581
0VYN09,Đầu đường Bà Triệu,21.31361443,105.6006836
0VYN10,Đường Kim Ngọc,21.31284383,105.5963925
0VYN11,Kho bạc tỉnh Vĩnh Phúc,21.30920543,105.5941533
0VYN12,UBND TP Vĩnh Yên,21.30872316,105.5898016
0VYN13,Công An Phường Tích Sơn,21.30749087,105.5838994
0VYN14,Cầu Oai,21.30631954,105.5761378
0VYN15,Ngã ba Tam Dương,21.30597739,105.5726528
0VYN16,Bưu cục Đồng Tâm,21.30587122,105.5701668
0VYN17,Cao đẳng Kinh tế Kỹ thuật Vĩnh Phúc,21.30167783,105.5626285
0VYN18,Ngã tư Quán Tiên,21.29957958,105.5600386
0VYN19,Trường THPT Vĩnh Yên,21.29637544,105.5563358
0VYN20,Ngã tư Hợp Thịnh,21.29393552,105.5534783
0YLC01,Bệnh viện Sản nhi,21.28089647,105.5405821
0YLC02,UBND xã Đồng Văn,21.26789125,105.5426818
0YLC03,Ngã tư Đồng Lạc,21.26038051,105.5398955
0YLC04,Trường Tiểu học Yên Đồng,21.21489996,105.5459528
0YLC05,Yên Đồng,21.21691393,105.5509222
0YLC06,Cổng làng Bình Lâm,21.22115776,105.5615107
0YLC07,UBND xã Tam Hồng,21.22302122,105.5661688
0YLC08,Ngã ba Gốc Đề,21.22640509,105.5719654
0YLC09,Cổng Bệnh viện huyện Yên Lạc,21.23021076,105.573362
0YLC10,UBND huyện Yên Lạc,21.23392144,105.5743477
0YLC11,Trường THCS Yên Lạc,21.2341174,105.5798599
0YLC12,Cổng làng Vĩnh Đông,21.23396577,105.5842831
0YLC13,Chùa Biện Sơn,21.23118289,105.5902457
0YLC14,Cầu Trắng Đinh Xá,21.22447809,105.6087448
1BXN01,Kếu,21.24454606,105.6769967
1BXN02,Thép Việt Đức,21.24903624,105.6726303
1BXN03,Cổng KCN Bình Xuyên,21.25629529,105.6657241
1BXN04,Ngã 3 Đầm Cả,21.26119341,105.6555625
1BXN05,Chi cục Thuế Bình Xuyên,21.26588284,105.6528205
1BXN06,Chợ Hương Canh,21.27164751,105.650578
1BXN07,UBND Bình Xuyên,21.27546541,105.6490248
1BXN08,Công an huyện Bình Xuyên,21.27879755,105.646431
1BXN09,Cầu các,21.28077479,105.6418093
1BXN10,Ngã 4 QL2,21.28285676,105.6360052
1BXN11,Cổng làng Láng 1,21.23334165,105.6139308
1BXN12,Cổng làng Láng 2,21.2407161,105.6234934
1BXN13,Ngã tư Thanh Lãng,21.24592747,105.6305243
1BXN14,Xã Tân Phong,21.2503086,105.637199
1BXN15,Đầu đường xã Tân Phong,21.25393063,105.6392133
1BXN16,Công ty Piaggio Việt Nam,21.2610984,105.6687055
1BXN17,Xí nghiệp dụng cụ giao thông Giai Việt,21.26561703,105.6702916
1BXN18,Trung tâm Logistic ICD Vĩnh Phúc,21.27367852,105.6731101
1BXN19,Tập đoàn Vina Top,21.28737391,105.6700319
1BXN20,Ngã ba đi Hương Canh,21.29676825,105.6729996
1BXN21,KCN Bình Xuyên 2,21.3036,105.6799285
1BXN22,KCN Bá Thiện 1,21.31859686,105.6834469
1BXN23,Nhà thờ Bảo Sơn,21.32892616,105.6859222
1BXN24,Đối diện Cổng KCN Bá Thiện 2,21.33712819,105.6755988
1BXN25,Công ty SamJin Vina,21.33968748,105.6722845
1BXN26,Công ty DST Vina,21.34521534,105.6693205
1BXN27,Công ty ActRo Vina,21.34559891,105.671113
1BXN28,Công ty Sơn Nippon,21.34039939,105.6747709
1BXN29,Cổng KCN Bá Thiện 2,21.33738802,105.6756256
1BXN30,Ngã ba KCN Bá Thiện,21.33496113,105.6887076
1BXN31,Ngã tư Trung Mỹ Bá Hiến,21.33407405,105.6936576
1BXN32,Hạt Quản lý đường bộ,21.33162133,105.6988281
1HNI01,Mê Linh Plaza,21.18646123,105.7806005
1HNI02,Đầu làng Gia Trung,21.19282154,105.7807637
1HNI03,Trạm thu phí Nội Bài,21.20476687,105.7798765
1HNI04,Ngã tư Cao tốc Nội Bài,21.21486663,105.7787463
1HNI05,Ngã 3 Nỉ,21.21872525,105.7752021
1HNI06,Bưu điện Kim Anh,21.22780444,105.7611462
1HNI07,Ngã 3 vinaco,21.23599552,105.7463503
1HNI08,Trạm thu phí QL2,21.23803088,105.7430157
1HNI09,Cầu Xây - Cầu Xuân Phương,21.24037455,105.7384523
1HNI10,Bến xe Thanh Lâm,21.21684464,105.7038592
1PYN01,Honda Phúc Yên,21.236674,105.7215441
1PYN02,Toyota Phúc Yên,21.23176581,105.7116483
1PYN03,Nghĩa trang Phúc Yên,21.23113337,105.6998716
1PYN04,Nhà hàng Ánh Tuyết,21.23110673,105.6948016
1PYN05,Cầu Tiền Châu,21.23345477,105.6897862
1PYN06,Ngã ba đi Đèo Nhe,21.32792618,105.7033405
1PYN07,Ngõ 12 Phạm Văn Đồng,21.30312803,105.7151594
1PYN08,Cổng Nhà máy Xe đạp Xuân Hòa,21.29842551,105.7125703
1PYN09,Xí nghiệp Điện quang 23,21.29503096,105.7141901
1PYN10,Trường Cao đẳng nghề Cơ điện,21.28618665,105.7182585
1PYN11,KTX ĐH Sư phạm 2,21.28221401,105.7232836
1PYN12,Đại học Sư phạm 2,21.28077597,105.7259867
1PYN13,Ngã tư Xuân Hòa,21.27707315,105.7290713
1PYN14,Viettinbank Xuân Hòa,21.27448771,105.726433
1PYN15,Cây xăng Xuân Hòa,21.27085679,105.7243373
1PYN16,Khu đô thị Xuân Hòa,21.26509307,105.7220593
1PYN17,Cầu Khả Do,21.26126049,105.719102
1PYN18,UBND xã Nam Viêm,21.25904265,105.7153959
1PYN19,Ngõ 16 Trần Phú,21.25450748,105.713663
1PYN20,Ngõ 12 Trần Phú,21.2491451,105.7118119
1PYN21,Cổng xí nghiệp Cơ khí 2,21.24338546,105.7103722
1PYN22,Tòa nhà Tuấn Tài,21.23992568,105.7084569
1PYN23,Quảng trường Phúc Yên,21.2370157,105.7063211
1PYN24,Ngân hàng Công thương Phúc Yên,21.23521569,105.7057973
1PYN25,Ngã tư Phúc Yên,21.23024894,105.7062679
1PYN26,Cổng Bệnh viện 74,21.22545376,105.704905
1TDG01,Cây xăng Quân đội Hợp Thịnh,21.2880856,105.5461768
1VTG01,Đồng Văn,21.28440408,105.5358881
1VTG02,Chợ Kiệu,21.2793927,105.5216398
1VTG03,Ngã 5 Chấn Hưng,21.27849206,105.5130009
1VTG04,Đại Đồng,21.27806042,105.5059492
1VTG05,Tân Tiến,21.2779107,105.4898693
1VTG06,Bến xe Vĩnh Tường,21.27858232,105.4856659
1VTG07,Dốc Đồi Me,21.27986935,105.4697822
1VTG08,Ngã 3 Trường Nghề - Lũng Hòa,21.2792126,105.4645016
1VTG09,Hòa Loan,21.27831986,105.4610887
1VTG10,Bồ Sao (Bến xe bus Bồ Sao),21.27907405,105.454625
1VTG11,Km 12 QL2C xã Đồng Văn,21.24965972,105.5376731
1VTG12,Công an PCCC Vĩnh Tường,21.24470954,105.5344863
1VTG13,Ngã tư Vân Xuân,21.23596105,105.5289178
1VTG14,Cầu Xuân Lai,21.22982577,105.5252756
1VTG15,Cổng làng Vũ Di,21.22437986,105.5211792
1VTG16,Bệnh viện đa khoa Vĩnh Tường,21.22090911,105.5181932
1VTG17,Ngã tư Vũ Di,21.21611051,105.5134983
1VTG18,Nhà văn hóa TT Vĩnh Tường,21.21851427,105.5110927
1VTG19,SVĐ Vĩnh Tường,21.22305587,105.506697
1VTG20,Trường THPT Lê Xoay,21.22591139,105.5029148
1VTG21,Ngã ba Thượng Trưng,21.22835404,105.4964794
1VTG22,TTTM Phúc Sơn - Thổ Tang,21.23999257,105.4916641
1VTG23,Nghĩa trang Thổ Tang,21.2471138,105.489671
1VTG24,Đường rẽ Xóm Thụ,21.24431449,105.4844202
1VTG25,UBND xã Thượng Trưng,21.23963411,105.4787895
1VTG26,Trường TH Thượng Trưng,21.2392378,105.4772049
1VTG27,Trường THCS Tân Phú,21.24103889,105.4708896
1VTG28,Bưu điện Tân Phú,21.24185752,105.4669995
1VTG29,Đê Tân Phú,21.24346508,105.4589233
1VTG30,Đường rẽ xóm Bãi Xã,21.24701407,105.4569036
1VTG31,UBND xã Cao Đại,21.25080671,105.45347
